Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,1,1,9357.3,5767.2,3875.9,3151.2,2990.2,3327.7,2831.0,2890.7,2881.1,3083.2,2812.7,2854.9
Memory Non-Treg T helper cells (Foxp3-CD45RA-),IL2-097,0.5,1,11350.5,6319.8,4007.4,3063.7,2911.2,2997.1,2848.3,3004.6,2791.1,2749.0,2762.1,2657.9
NK cells,IL2-060,4,2,1791.2,1773.0,1740.4,1487.5,1163.4,845.8,781.8,770.2,739.7,716.5,665.4,612.5
NK cells,IL2-060,2,2,1382.4,1532.7,1377.8,799.8,729.7,700.1,752.0,642.9,611.3,663.8,684.6,670.3
NK cells,IL2-060,1,2,2280.0,2201.8,1573.9,887.5,806.6,865.5,649.9,613.9,616.1,651.6,608.9,557.7
NK cells,IL2-060,0.5,2,2299.1,2582.9,1663.7,899.2,909.1,719.8,678.4,640.2,595.3,542.7,566.9,621.4
CD56bright NK cells,IL2-060,4,2,2286.9,1745.4,1780.4,1858.2,1731.5,1372.0,1425.6,965.3,447.4,1135.7,705.3,404.8
CD56bright NK cells,IL2-060,2,2,2003.9,1740.1,1994.7,1037.6,792.7,1221.6,1257.6,859.6,647.5,365.6,898.4,589.3
CD56bright NK cells,IL2-060,1,2,3969.1,3490.4,3179.7,1995.1,3478.4,2008.6,1166.4,1053.8,745.2,36.6,509.9,-11.7
CD56bright NK cells,IL2-060,0.5,2,4183.7,3481.0,3833.4,2682.2,3696.7,1843.6,1290.8,436.1,470.1,554.0,350.4,679.8
Cytotoxic T cells (CD3+CD8+),IL2-060,4,2,2778.1,2309.1,1606.5,1103.8,870.5,803.9,788.3,822.4,735.1,765.0,743.8,715.6
Cytotoxic T cells (CD3+CD8+),IL2-060,2,2,1553.5,1607.2,1028.1,768.9,767.6,756.4,783.1,737.9,693.6,737.7,737.9,708.9
Cytotoxic T cells (CD3+CD8+),IL2-060,1,2,2861.3,2638.5,1177.7,797.8,785.7,760.2,723.9,702.8,693.9,692.1,694.7,695.9
Cytotoxic T cells (CD3+CD8+),IL2-060,0.5,2,3662.2,3360.2,1200.3,814.6,790.6,774.2,690.3,700.4,722.1,726.9,697.2,685.2
T-regulatory cells (naïve and memory combined),IL2-060,4,2,30551.2,25764.0,28887.3,27318.8,30349.0,30528.3,30280.8,28526.6,27591.2,21157.5,5655.8,3871.4
T-regulatory cells (naïve and memory combined),IL2-060,2,2,19679.1,22556.1,22374.5,16270.0,18367.5,18243.6,27911.1,21448.0,25060.2,7796.9,6196.2,4425.0
T-regulatory cells (naïve and memory combined),IL2-060,1,2,37143.9,35886.6,40050.2,38094.3,37082.1,36387.5,36719.8,30494.1,20152.4,10329.0,5311.6,4163.8
T-regulatory cells (naïve and memory combined),IL2-060,0.5,2,39930.3,40506.8,42479.5,39322.8,39829.9,37970.8,36557.9,23034.7,12494.1,6102.5,5835.3,5802.4
Naïve T-regulatory cells (CD45RA+),IL2-060,4,2,23540.8,19722.3,22470.6,22490.6,22068.2,22212.6,24128.5,22991.3,23308.7,17483.4,4041.6,2956.0
Naïve T-regulatory cells (CD45RA+),IL2-060,2,2,13813.4,14701.5,17683.1,12639.7,13571.2,12679.7,20550.2,18440.9,19309.4,7706.8,5891.5,2772.6
Naïve T-regulatory cells (CD45RA+),IL2-060,1,2,27645.4,26086.1,30655.9,27918.1,29062.7,29814.8,31378.9,25097.3,17046.8,10329.0,4634.9,3018.3
Naïve T-regulatory cells (CD45RA+),IL2-060,0.5,2,29180.7,28426.2,34388.4,28736.2,29289.2,30795.1,29377.8,18040.4,10665.7,4881.6,5019.6,4403.3
